map_num,resolution,source,destination,computation time (dijkstra),total_searched(dijkstra),computation time (astar),total_searched(astar)
map1,2.0 m * 2.0 m,"(158, 224)","(1468, 232)",1.1902287006378174,167302.0,0.43135523796081543,2039.0
map1,2.0 m * 2.0 m,"(158, 224)","(870, 964)",1.0134618282318115,132249.0,0.7582306861877441,42445.0
map1,2.0 m * 2.0 m,"(158, 224)","(72, 304)",,,,
map1,2.0 m * 2.0 m,"(158, 224)","(840, 274)",N/A,173126.0,N/A,275983.0
map1,2.0 m * 2.0 m,"(892, 436)","(1468, 232)",0.5268912315368652,57413.0,0.40367817878723145,1301.0
map1,2.0 m * 2.0 m,"(892, 436)","(870, 964)",0.5425417423248291,59813.0,0.4230227470397949,807.0
map1,2.0 m * 2.0 m,"(892, 436)","(72, 304)",,,,
map1,2.0 m * 2.0 m,"(892, 436)","(840, 274)",N/A,173126.0,N/A,200342.0
map2,5.0 m * 5.0 m,"(158, 224)","(1468, 232)",0.17273426055908203,26855.0,0.07850432395935059,565.0
map2,5.0 m * 5.0 m,"(158, 224)","(870, 964)",0.1291642189025879,21087.0,0.07140684127807617,3663.0
map2,5.0 m * 5.0 m,"(158, 224)","(72, 304)",,,,
map2,5.0 m * 5.0 m,"(158, 224)","(840, 274)",N/A,27653.0,N/A,41402.0
map2,5.0 m * 5.0 m,"(892, 436)","(1468, 232)",0.0765984058380127,9250.0,0.056717872619628906,243.0
map2,5.0 m * 5.0 m,"(892, 436)","(870, 964)",0.07428216934204102,9385.0,0.054282188415527344,197.0
map2,5.0 m * 5.0 m,"(892, 436)","(72, 304)",,,,
map2,5.0 m * 5.0 m,"(892, 436)","(840, 274)",N/A,27653.0,N/A,32834.0
map3,10.0 m * 10.0 m,"(158, 224)","(1468, 232)",N/A,6644.0,N/A,18458.0
map3,10.0 m * 10.0 m,"(158, 224)","(870, 964)",0.032749176025390625,5056.0,0.0186769962310791,718.0
map3,10.0 m * 10.0 m,"(158, 224)","(72, 304)",,,,
map3,10.0 m * 10.0 m,"(158, 224)","(840, 274)",N/A,6644.0,N/A,9559.0
map3,10.0 m * 10.0 m,"(892, 436)","(1468, 232)",N/A,183.0,N/A,266.0
map3,10.0 m * 10.0 m,"(892, 436)","(870, 964)",N/A,183.0,N/A,216.0
map3,10.0 m * 10.0 m,"(892, 436)","(72, 304)",,,,
map3,10.0 m * 10.0 m,"(892, 436)","(840, 274)",N/A,183.0,N/A,222.0
map4,1.0 m * 1.0 m,"(158, 224)","(1468, 232)",5.112288951873779,677924.0,2.1663918495178223,9095.0
map4,1.0 m * 1.0 m,"(158, 224)","(870, 964)",4.289278745651245,515048.0,4.340108156204224,301772.0
map4,1.0 m * 1.0 m,"(158, 224)","(72, 304)",,,,
map4,1.0 m * 1.0 m,"(158, 224)","(840, 274)",N/A,691257.0,N/A,1693857.0
map4,1.0 m * 1.0 m,"(892, 436)","(1468, 232)",2.449913740158081,224186.0,2.073132038116455,6861.0
map4,1.0 m * 1.0 m,"(892, 436)","(870, 964)",2.483391523361206,234696.0,2.0152587890625,14354.0
map4,1.0 m * 1.0 m,"(892, 436)","(72, 304)",,,,
map4,1.0 m * 1.0 m,"(892, 436)","(840, 274)",N/A,691257.0,N/A,792571.0
